model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;True;False;False;10;10;100;1;1;1;False;0.60;0.0498;0.4046
svd;False;True;False;False;10;10;100;1;1;1;False;0.70;0.0177;0.7670
svd;False;True;False;False;10;10;100;1;1;1;False;0.80;-0.0219;0.7144
svd;False;True;False;False;10;10;100;1;1;1;False;0.90;0.0091;0.8794
svd;False;True;False;False;10;10;100;15;1;1;False;0.60;-0.0305;0.6103
svd;False;True;False;False;10;10;100;15;1;1;False;0.70;-0.0097;0.8715
svd;False;True;False;False;10;10;100;15;1;1;False;0.80;0.0266;0.6562
svd;False;True;False;False;10;10;100;15;1;1;False;0.90;0.0240;0.6881
svd;False;False;False;False;50;10;100;1;1;1;False;0.60;-0.0791;0.1863
svd;False;False;False;False;50;10;100;1;1;1;False;0.70;-0.0697;0.2440
svd;False;False;False;False;50;10;100;1;1;1;False;0.80;-0.0676;0.2586
svd;False;False;False;False;50;10;100;1;1;1;False;0.90;-0.0040;0.9468
svd;False;False;False;False;50;10;100;15;1;1;False;0.60;0.0198;0.7405
svd;False;False;False;False;50;10;100;15;1;1;False;0.70;0.0458;0.4449
svd;False;False;False;False;50;10;100;15;1;1;False;0.80;0.0417;0.4859
svd;False;False;False;False;50;10;100;15;1;1;False;0.90;0.0533;0.3732
svd;False;True;False;False;50;10;100;1;1;1;False;0.60;-0.0814;0.1738
svd;False;True;False;False;50;10;100;1;1;1;False;0.70;-0.0800;0.1809
svd;False;True;False;False;50;10;100;1;1;1;False;0.80;-0.1009;0.0915
svd;False;True;False;False;50;10;100;1;1;1;False;0.90;-0.0121;0.8394
svd;False;True;False;False;50;10;100;15;1;1;False;0.60;0.0210;0.7260
svd;False;True;False;False;50;10;100;15;1;1;False;0.70;0.0450;0.4529
svd;False;True;False;False;50;10;100;15;1;1;False;0.80;0.0490;0.4128
svd;False;True;False;False;50;10;100;15;1;1;False;0.90;0.0544;0.3640
svd;False;False;False;False;100;10;100;1;1;1;False;0.60;-0.0895;0.1388
