model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;False;False;False;10;10;100;1;1;1;False;0.60;0.0947;0.3414
svd;False;False;False;False;10;10;100;1;1;1;False;0.70;0.1044;0.2941
svd;False;False;False;False;10;10;100;1;1;1;False;0.80;0.0729;0.4645
svd;False;False;False;False;10;10;100;1;1;1;False;0.90;0.0929;0.3505
svd;False;False;False;False;10;10;100;15;1;1;False;0.60;-0.0641;0.5202
svd;False;False;False;False;10;10;100;15;1;1;False;0.70;-0.0224;0.8221
svd;False;False;False;False;10;10;100;15;1;1;False;0.80;-0.0092;0.9264
svd;False;False;False;False;10;10;100;15;1;1;False;0.90;-0.0019;0.9852
svd;False;True;False;False;10;10;100;1;1;1;False;0.60;0.0331;0.7398
svd;False;True;False;False;10;10;100;1;1;1;False;0.70;0.0449;0.6524
svd;False;True;False;False;10;10;100;1;1;1;False;0.80;0.1039;0.2962
svd;False;True;False;False;10;10;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;True;False;False;10;10;100;15;1;1;False;0.60;-0.0253;0.8000
svd;False;True;False;False;10;10;100;15;1;1;False;0.70;-0.0062;0.9503
svd;False;True;False;False;10;10;100;15;1;1;False;0.80;0.0072;0.9424
svd;False;True;False;False;10;10;100;15;1;1;False;0.90;0.0096;0.9234
svd;False;False;False;False;50;10;100;1;1;1;False;0.60;0.1057;0.2880
svd;False;False;False;False;50;10;100;1;1;1;False;0.70;0.0699;0.4832
svd;False;False;False;False;50;10;100;1;1;1;False;0.80;0.0093;0.9259
svd;False;False;False;False;50;10;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;50;10;100;15;1;1;False;0.60;0.0870;0.3820
svd;False;False;False;False;50;10;100;15;1;1;False;0.70;0.1066;0.2839
svd;False;False;False;False;50;10;100;15;1;1;False;0.80;0.1205;0.2253
svd;False;False;False;False;50;10;100;15;1;1;False;0.90;0.1257;0.2059
svd;False;True;False;False;50;10;100;1;1;1;False;0.60;0.0689;0.4890
svd;False;True;False;False;50;10;100;1;1;1;False;0.70;0.0412;0.6798
svd;False;True;False;False;50;10;100;1;1;1;False;0.80;-0.0942;0.3438
svd;False;True;False;False;50;10;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;True;False;False;50;10;100;15;1;1;False;0.60;0.0963;0.3333
svd;False;True;False;False;50;10;100;15;1;1;False;0.70;0.1096;0.2704
svd;False;True;False;False;50;10;100;15;1;1;False;0.80;0.1207;0.2245
svd;False;True;False;False;50;10;100;15;1;1;False;0.90;0.1241;0.2116
svd;False;False;False;False;100;10;100;1;1;1;False;0.60;0.0812;0.4147
svd;False;False;False;False;100;10;100;1;1;1;False;0.70;0.0083;0.9338
svd;False;False;False;False;100;10;100;1;1;1;False;0.80;-0.1941;0.0494
svd;False;False;False;False;100;10;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;100;10;100;15;1;1;False;0.60;0.0173;0.8623
svd;False;False;False;False;100;10;100;15;1;1;False;0.70;0.0227;0.8200
svd;False;False;False;False;100;10;100;15;1;1;False;0.80;0.0260;0.7946
svd;False;False;False;False;100;10;100;15;1;1;False;0.90;0.0287;0.7733
svd;False;True;False;False;100;10;100;1;1;1;False;0.60;0.0512;0.6074
svd;False;True;False;False;100;10;100;1;1;1;False;0.70;0.0086;0.9314
svd;False;True;False;False;100;10;100;1;1;1;False;0.80;-0.1424;0.1514
svd;False;True;False;False;100;10;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;True;False;False;100;10;100;15;1;1;False;0.60;0.0748;0.4529
svd;False;True;False;False;100;10;100;15;1;1;False;0.70;0.0783;0.4319
svd;False;True;False;False;100;10;100;15;1;1;False;0.80;0.0827;0.4064
svd;False;True;False;False;100;10;100;15;1;1;False;0.90;0.0862;0.3869
